timestamp,x,y,z
1761998981.7400858,-3.4782608695652173,0.8347826086956521,-0.6956521739130435
1761998981.7542965,-3.4782608695652173,0.9739130434782609,-0.5565217391304348
1761998981.7679312,-3.3391304347826085,0.8347826086956521,-0.5565217391304348
1761998981.7811804,-3.408695652173913,1.1130434782608696,-0.48695652173913045
1761998981.7944834,-3.2695652173913046,0.7652173913043478,-0.8347826086956521
1761998981.8106287,-3.2695652173913046,0.7652173913043478,-0.6260869565217392
1761998981.8256528,-3.130434782608696,0.6956521739130435,-0.9043478260869565
1761998981.839178,-3.3391304347826085,0.5565217391304348,-0.6260869565217392
1761998981.852819,-3.6869565217391305,0.9043478260869565,-0.5565217391304348
1761998981.867193,-3.4782608695652173,0.48695652173913045,-0.8347826086956521
1761998981.880639,-3.2,0.8347826086956521,-0.34782608695652173
1761998981.893919,-3.6869565217391305,1.0434782608695652,-0.48695652173913045
1761998981.9071562,-3.5478260869565217,0.8347826086956521,-0.34782608695652173
1761998981.9204068,-3.408695652173913,1.0434782608695652,0.20869565217391303
1761998981.9341784,-3.408695652173913,1.1130434782608696,-0.06956521739130435
1761998981.9474232,-3.3391304347826085,0.8347826086956521,-0.1391304347826087
1761998981.9608119,-3.3391304347826085,0.9043478260869565,-0.7652173913043478
1761998981.974176,-3.0608695652173914,0.48695652173913045,-1.1130434782608696
1761998981.9875424,-3.130434782608696,0.5565217391304348,-1.2521739130434784
1761998982.0009315,-3.2695652173913046,0.6956521739130435,-1.3217391304347825
1761998982.0141883,-3.5478260869565217,1.0434782608695652,-0.9739130434782609
1761998982.0274045,-3.4782608695652173,0.6260869565217392,-0.5565217391304348
1761998982.040682,-3.2695652173913046,0.7652173913043478,0.0
1761998982.0538766,-3.5478260869565217,1.0434782608695652,0.06956521739130435
1761998982.0674133,-3.3391304347826085,0.9043478260869565,0.0
1761998982.0810719,-3.617391304347826,0.9739130434782609,-0.1391304347826087
1761998982.0946243,-3.2,0.9739130434782609,-0.2782608695652174
1761998982.1081572,-3.2695652173913046,0.8347826086956521,-0.48695652173913045
1761998982.121704,-2.9217391304347826,1.1130434782608696,-0.6956521739130435
1761998982.1361966,-2.7130434782608694,0.6956521739130435,-1.1130434782608696
1761998982.1496255,-3.408695652173913,1.0434782608695652,-0.7652173913043478
1761998982.1627874,-3.2,0.6956521739130435,-1.3217391304347825
1761998982.17618,-3.408695652173913,0.20869565217391303,-0.7652173913043478
1761998982.1893213,-3.3391304347826085,0.8347826086956521,-1.3217391304347825
1761998982.202882,-3.6869565217391305,0.34782608695652173,-1.7391304347826086
1761998982.216028,-3.3391304347826085,0.48695652173913045,-1.4608695652173913
1761998982.2291653,-3.617391304347826,0.7652173913043478,-1.1130434782608696
1761998982.2431417,-3.2695652173913046,0.41739130434782606,-0.7652173913043478
1761998982.2567356,-3.617391304347826,0.8347826086956521,-0.6260869565217392
1761998982.2699466,-3.617391304347826,1.0434782608695652,-0.20869565217391303
1761998982.283411,-3.408695652173913,1.0434782608695652,0.0
1761998982.29664,-3.5478260869565217,1.3217391304347825,0.06956521739130435
1761998982.3102827,-3.2,1.182608695652174,-0.1391304347826087
1761998982.3240395,-3.2,1.182608695652174,-0.34782608695652173
1761998982.3379214,-3.408695652173913,1.182608695652174,-0.6260869565217392
1761998982.3511245,-3.2695652173913046,0.9739130434782609,-0.34782608695652173
1761998982.3643036,-3.3391304347826085,0.6260869565217392,-0.48695652173913045
1761998982.3780308,-3.617391304347826,1.1130434782608696,-0.6260869565217392
1761998982.3917556,-3.0608695652173914,0.48695652173913045,-0.41739130434782606
1761998982.406017,-4.3130434782608695,1.1130434782608696,0.48695652173913045
1761998982.4197588,-3.6869565217391305,0.9043478260869565,-0.2782608695652174
1761998982.43297,-4.034782608695652,0.41739130434782606,0.2782608695652174
1761998982.4472907,-3.5478260869565217,1.8782608695652174,-0.2782608695652174
1761998982.4608812,-2.782608695652174,0.6260869565217392,-0.48695652173913045
1761998982.4744577,-3.2695652173913046,0.8347826086956521,-0.2782608695652174
1761998982.4879563,-3.0608695652173914,1.0434782608695652,-0.34782608695652173
1761998982.5022702,-3.2,0.9043478260869565,-0.34782608695652173
1761998982.515498,-3.408695652173913,1.182608695652174,-0.2782608695652174
1761998982.529022,-3.617391304347826,0.9739130434782609,-0.1391304347826087
1761998982.542583,-3.4782608695652173,0.9739130434782609,-0.34782608695652173
1761998982.5562174,-3.617391304347826,0.6956521739130435,-0.1391304347826087
1761998982.5699577,-3.2695652173913046,0.8347826086956521,-0.06956521739130435
1761998982.5835576,-3.3391304347826085,0.6956521739130435,-0.34782608695652173
1761998982.5975718,-3.3391304347826085,0.9043478260869565,-0.48695652173913045
1761998982.6108577,-3.2,0.8347826086956521,-0.20869565217391303
1761998982.6241481,-3.5478260869565217,0.7652173913043478,-0.6260869565217392
1761998982.6374338,-3.4782608695652173,0.6956521739130435,-0.7652173913043478
1761998982.650701,-3.3391304347826085,0.9043478260869565,-0.41739130434782606
1761998982.663987,-3.3391304347826085,0.7652173913043478,-0.8347826086956521
1761998982.6777291,-3.5478260869565217,1.0434782608695652,-0.9043478260869565
1761998982.6911502,-3.3391304347826085,0.9043478260869565,-0.5565217391304348
1761998982.7046554,-3.2695652173913046,0.5565217391304348,-0.2782608695652174
1761998982.718046,-3.5478260869565217,0.7652173913043478,-0.34782608695652173
1761998982.7314045,-3.2695652173913046,0.7652173913043478,-0.2782608695652174
1761998982.7460532,-3.6869565217391305,0.9739130434782609,-0.48695652173913045
1761998982.7597651,-3.5478260869565217,0.9043478260869565,-0.8347826086956521
1761998982.7730758,-3.2,0.9739130434782609,-0.48695652173913045
1761998982.7863443,-3.4782608695652173,0.9739130434782609,-0.6260869565217392
1761998982.7995749,-3.3391304347826085,1.0434782608695652,-0.6260869565217392
1761998982.8129094,-3.408695652173913,0.9043478260869565,-0.2782608695652174
1761998982.8270042,-3.3391304347826085,0.7652173913043478,-0.34782608695652173
